city,sales_transactions,market_value,rental_contracts,population,avg_rent,market_value_billion,sales_per_1000_pop,rentals_per_1000_pop,market_segment
Abha,3431.0,3071604912.9800005,43065.0,422243,14196.320286411308,3.0716049129800007,8.125652763929773,101.99103359913605,Lower Sales / Lower Rentals
Al Bahah,295.0,144659897.92000002,10870.0,90515,11846.727721660533,0.14465989792000003,3.2591283212727173,120.09059271943877,Lower Sales / High Rentals
Arar,2262.0,430021657.0,17549.0,202719,11406.611255061942,0.430021657,11.158302872449056,86.56810659089675,High Sales / Lower Rentals
Buraidah,10335.0,4806707193.51,74249.0,677647,9363.291275365258,4.80670719351,15.2513034072312,109.56884631674014,High Sales / Lower Rentals
Dammam,37189.0,67402414360.98,318003.0,1532326,15439.29865685133,67.40241436098,24.26963975028812,207.52959879294613,High Sales / High Rentals
Hail,5339.0,2587488926.47,55260.0,498575,10393.690032914314,2.58748892647,10.70851927994785,110.83588226445369,High Sales / Lower Rentals
Jazan,7753.0,5079299834.75,43422.0,200911,15480.833261160082,5.07929983475,38.589226075227344,216.1255481282757,High Sales / High Rentals
Jeddah,132841.0,158139343646.59,863855.0,3751722,19515.28564195902,158.13934364659,35.40800730971005,230.25559996183088,High Sales / High Rentals
Khobar,5302.0,8819345334.04,176949.0,658550,18642.790581822846,8.819345334040001,8.05102118290183,268.6948599195201,Lower Sales / High Rentals
Madinah,14985.0,14731146809.5,175355.0,1477047,12674.23021071409,14.7311468095,10.145242500746422,118.71998656779371,Lower Sales / Lower Rentals
Makkah,13411.0,19716000855.15,201542.0,2427924,13667.61897457441,19.71600085515,5.52364901043031,83.0100118455108,Lower Sales / Lower Rentals
Najran,2381.0,839342941.6899999,52441.0,421902,10042.620202922351,0.8393429416899999,5.643490668449071,124.2966376077857,Lower Sales / High Rentals
Riyadh,266227.0,405222809813.43,1369738.0,7009120,18256.184725456566,405.22280981343,37.982942223845505,195.42224986874243,High Sales / High Rentals
Sakaka,2002.0,549879098.19,26925.0,236669,9377.879716807427,0.54987909819,8.459071530280688,113.76648399241135,Lower Sales / Lower Rentals
Tabuk,18689.0,15406322601.47,82163.0,623665,11665.314404343075,15.406322601469999,29.966408248017768,131.74220134206666,High Sales / High Rentals
