city,quarter_key,property_type,sales_transactions,market_value,avg_price_m2,rental_contracts,avg_rent,year,quarter,region_ar,region_en,population
Abha,2019Q1,Commercial,,,,10.0,479.1603463,2019,1,منطقة عسير,Aseer Region,422243
Abha,2019Q1,Residential,,,,501.0,18998.0096191976,2019,1,منطقة عسير,Aseer Region,422243
Abha,2019Q2,Commercial,,,,10.0,666.1453288,2019,2,منطقة عسير,Aseer Region,422243
Abha,2019Q2,Residential,,,,561.0,20010.36705441889,2019,2,منطقة عسير,Aseer Region,422243
Abha,2019Q3,Commercial,,,,52.0,629.6505417307692,2019,3,منطقة عسير,Aseer Region,422243
Abha,2019Q3,Residential,3.0,1500000.0,,722.0,19258.57151479917,2019,3,منطقة عسير,Aseer Region,422243
Abha,2019Q4,Commercial,,,,61.0,794.3027407704918,2019,4,منطقة عسير,Aseer Region,422243
Abha,2019Q4,Residential,,,,725.0,18912.580944626206,2019,4,منطقة عسير,Aseer Region,422243
Abha,2020Q1,Commercial,,,,50.0,624.5086931000001,2020,1,منطقة عسير,Aseer Region,422243
Abha,2020Q1,Residential,4.0,2161250.0,,1202.0,17848.01239450749,2020,1,منطقة عسير,Aseer Region,422243
Abha,2020Q2,Commercial,,,,59.0,604.7707524915254,2020,2,منطقة عسير,Aseer Region,422243
Abha,2020Q2,Residential,7.0,3936844.0,2013.463378,1433.0,16618.30913987369,2020,2,منطقة عسير,Aseer Region,422243
Abha,2020Q3,Commercial,,,,297.0,593.8531935353535,2020,3,منطقة عسير,Aseer Region,422243
Abha,2020Q3,Residential,6.0,3038800.0,,2023.0,17346.703704790412,2020,3,منطقة عسير,Aseer Region,422243
Abha,2020Q4,Commercial,,,,661.0,591.8284000242057,2020,4,منطقة عسير,Aseer Region,422243
Abha,2020Q4,Residential,6.0,3248400.0,,1702.0,18185.92209916275,2020,4,منطقة عسير,Aseer Region,422243
Abha,2021Q1,Commercial,,,,405.0,615.4802898074073,2021,1,منطقة عسير,Aseer Region,422243
Abha,2021Q1,Residential,5.0,3456448.0,,1657.0,17879.474391380205,2021,1,منطقة عسير,Aseer Region,422243
Abha,2021Q2,Commercial,,,,257.0,580.8080842490272,2021,2,منطقة عسير,Aseer Region,422243
Abha,2021Q2,Residential,3.0,1920000.0,,1133.0,18140.25283959135,2021,2,منطقة عسير,Aseer Region,422243
Abha,2021Q3,Commercial,,,,592.0,759.0198640506757,2021,3,منطقة عسير,Aseer Region,422243
Abha,2021Q3,Residential,8.0,4467237.0,,2032.0,18743.961375671755,2021,3,منطقة عسير,Aseer Region,422243
Abha,2021Q4,Commercial,,,,789.0,828.1437377642587,2021,4,منطقة عسير,Aseer Region,422243
Abha,2021Q4,Residential,2.0,1191781.0,,2340.0,18151.4316090312,2021,4,منطقة عسير,Aseer Region,422243
Abha,2022Q1,Commercial,,,,939.0,737.4866800202343,2022,1,منطقة عسير,Aseer Region,422243
Abha,2022Q1,Residential,5.0,2938016.0,,2660.0,17903.379487965412,2022,1,منطقة عسير,Aseer Region,422243
Abha,2022Q2,Commercial,56.0,44188193.2,988.7768735357143,972.0,640.4359229238682,2022,2,منطقة عسير,Aseer Region,422243
Abha,2022Q2,Residential,1151.0,888727369.69,1499.5264444995655,2753.0,18082.707588493646,2022,2,منطقة عسير,Aseer Region,422243
Abha,2022Q3,Commercial,103.0,172223389.67,903.490477893204,1154.0,721.3508314107452,2022,3,منطقة عسير,Aseer Region,422243
Abha,2022Q3,Residential,1173.0,1236207448.67,1495.490214251492,6639.0,16313.304770825425,2022,3,منطقة عسير,Aseer Region,422243
Abha,2022Q4,Commercial,57.0,82886429.5,725.7074435263157,1527.0,707.0556919345121,2022,4,منطقة عسير,Aseer Region,422243
Abha,2022Q4,Residential,842.0,619513306.25,1655.5334052719716,7147.0,15361.231377161606,2022,4,منطقة عسير,Aseer Region,422243
Abha,2023Q1,Commercial,73.0,86134962.9,1048.633435671233,1377.0,707.855014533769,2023,1,منطقة عسير,Aseer Region,422243
Abha,2023Q1,Residential,837.0,768518881.15,1344.6838942628433,7531.0,15160.799947044614,2023,1,منطقة عسير,Aseer Region,422243
Abha,2023Q2,Commercial,104.0,97289481.03,1100.147165653846,904.0,671.6479912588495,2023,2,منطقة عسير,Aseer Region,422243
Abha,2023Q2,Residential,952.0,635746462.31,1381.6881609380252,7510.0,15042.209482465778,2023,2,منطقة عسير,Aseer Region,422243
Abha,2023Q3,Commercial,149.0,121733719.38,1032.700675442953,1556.0,699.7101529781492,2023,3,منطقة عسير,Aseer Region,422243
Abha,2023Q3,Residential,1127.0,745487094.39,1232.9711740417035,9077.0,15694.353579800705,2023,3,منطقة عسير,Aseer Region,422243
Abha,2023Q4,Commercial,,,,1559.0,794.2976536516996,2023,4,منطقة عسير,Aseer Region,422243
Abha,2023Q4,Residential,,,,9342.0,15772.143128522051,2023,4,منطقة عسير,Aseer Region,422243
Abha,2024Q1,Commercial,,,,1587.0,760.4595005116572,2024,1,منطقة عسير,Aseer Region,422243
