quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,rental_contracts,avg_rent,region,population,avg_income,inflation_rate,repo_rate
2018Q1,2018,1,المنطقة الشرقية,Dammam,Commercial,140.0,1063061546.79,1324.9258791641792,,,Eastern Province,1532326,11775.0,2.46,2.25
2018Q1,2018,1,المنطقة الشرقية,Dammam,Residential,946.0,962987839.56,2158.151106714109,,,Eastern Province,1532326,11775.0,2.46,2.25
2018Q1,2018,1,المنطقة الشرقية,Khobar,Residential,8.0,4792500.0,3202.085719,,,Eastern Province,658550,11775.0,2.46,2.25
2018Q1,2018,1,منطقة الرياض,Riyadh,Commercial,637.0,6590402156.58,1832.6576208770832,,,Riyadh,7009120,14990.0,2.46,2.25
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,8929.0,8632682303.76,1901.8240541099208,,,Riyadh,7009120,14990.0,2.46,2.25
2018Q1,2018,1,منطقة القصيم,Buraidah,Residential,2.0,760000.0,,,,Al Qassim,677647,10081.0,2.46,2.25
2018Q1,2018,1,منطقة المدينة المنورة,Madinah,Commercial,67.0,95794033.14,873.5327606511627,,,Madinah,1477047,9723.0,2.46,2.25
2018Q1,2018,1,منطقة المدينة المنورة,Madinah,Residential,359.0,253030773.36,1365.1426384006515,,,Madinah,1477047,9723.0,2.46,2.25
2018Q1,2018,1,منطقة تبوك,Tabuk,Commercial,361.0,127508218.17,310.7447752037037,,,Tabuk,623665,11127.0,2.46,2.25
2018Q1,2018,1,منطقة تبوك,Tabuk,Residential,361.0,120823139.04,529.2648657052239,,,Tabuk,623665,11127.0,2.46,2.25
2018Q1,2018,1,منطقة جازان,Jazan,Commercial,29.0,29238484.0,156.427711,,,Jazan,200911,10763.0,2.46,2.25
2018Q1,2018,1,منطقة جازان,Jazan,Residential,127.0,45383516.0,669.9949545322581,,,Jazan,200911,10763.0,2.46,2.25
2018Q1,2018,1,منطقة مكة المكرمة,Jeddah,Commercial,355.0,891749852.53,1413.0079844113209,,,Makkah,3751722,10141.0,2.46,2.25
2018Q1,2018,1,منطقة مكة المكرمة,Jeddah,Residential,3795.0,3698915152.0,2244.7626745329258,,,Makkah,3751722,10141.0,2.46,2.25
2018Q1,2018,1,منطقة مكة المكرمة,Makkah,Commercial,11.0,36399287.39,,,,Makkah,2427924,10141.0,2.46,2.25
2018Q1,2018,1,منطقة مكة المكرمة,Makkah,Residential,253.0,940848946.7,5183.819896516432,,,Makkah,2427924,10141.0,2.46,2.25
2018Q2,2018,2,المنطقة الشرقية,Dammam,Commercial,82.0,175051689.84,1744.9183821290324,,,Eastern Province,1532326,11775.0,2.46,2.5
2018Q2,2018,2,المنطقة الشرقية,Dammam,Residential,821.0,653722471.12,2060.8583538785606,,,Eastern Province,1532326,11775.0,2.46,2.5
2018Q2,2018,2,المنطقة الشرقية,Khobar,Residential,7.0,7331938.6,4640.826608,,,Eastern Province,658550,11775.0,2.46,2.5
2018Q2,2018,2,منطقة الرياض,Riyadh,Commercial,508.0,3421732390.3,1786.9015143224044,,,Riyadh,7009120,14990.0,2.46,2.5
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,8115.0,9209966091.16,1770.9658919086255,,,Riyadh,7009120,14990.0,2.46,2.5
2018Q2,2018,2,منطقة القصيم,Buraidah,Residential,5.0,1610000.0,,,,Al Qassim,677647,10081.0,2.46,2.5
2018Q2,2018,2,منطقة المدينة المنورة,Madinah,Commercial,44.0,60214061.0,1173.655780076923,,,Madinah,1477047,9723.0,2.46,2.5
2018Q2,2018,2,منطقة المدينة المنورة,Madinah,Residential,249.0,177439320.57,1218.225591361809,,,Madinah,1477047,9723.0,2.46,2.5
2018Q2,2018,2,منطقة تبوك,Tabuk,Commercial,345.0,354401572.66,340.62828597826086,,,Tabuk,623665,11127.0,2.46,2.5
2018Q2,2018,2,منطقة تبوك,Tabuk,Residential,335.0,93995383.73,399.1830319924242,,,Tabuk,623665,11127.0,2.46,2.5
2018Q2,2018,2,منطقة جازان,Jazan,Commercial,15.0,14110000.0,455.840455,,,Jazan,200911,10763.0,2.46,2.5
2018Q2,2018,2,منطقة جازان,Jazan,Residential,140.0,69861902.0,734.1302952983871,,,Jazan,200911,10763.0,2.46,2.5
2018Q2,2018,2,منطقة مكة المكرمة,Jeddah,Commercial,343.0,2656103280.88,1432.1627568862746,,,Makkah,3751722,10141.0,2.46,2.5
2018Q2,2018,2,منطقة مكة المكرمة,Jeddah,Residential,2741.0,2715069571.55,2241.115877096085,,,Makkah,3751722,10141.0,2.46,2.5
2018Q2,2018,2,منطقة مكة المكرمة,Makkah,Commercial,12.0,69184236.0,,,,Makkah,2427924,10141.0,2.46,2.5
2018Q2,2018,2,منطقة مكة المكرمة,Makkah,Residential,185.0,1832905371.33,41476.77645002837,,,Makkah,2427924,10141.0,2.46,2.5
2018Q3,2018,3,المنطقة الشرقية,Dammam,Commercial,96.0,472791713.37,1353.145726783784,,,Eastern Province,1532326,11775.0,2.46,2.75
2018Q3,2018,3,المنطقة الشرقية,Dammam,Residential,862.0,893147364.64,2135.6266652386207,,,Eastern Province,1532326,11775.0,2.46,2.75
2018Q3,2018,3,المنطقة الشرقية,Khobar,Residential,9.0,5718012.63,3406.764044,,,Eastern Province,658550,11775.0,2.46,2.75
2018Q3,2018,3,منطقة الرياض,Riyadh,Commercial,531.0,4402588395.67,1293.7457496691,,,Riyadh,7009120,14990.0,2.46,2.75
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,7458.0,5810925593.02,1609.5499289133484,,,Riyadh,7009120,14990.0,2.46,2.75
2018Q3,2018,3,منطقة القصيم,Buraidah,Residential,13.0,1927000.0,1065.154239,,,Al Qassim,677647,10081.0,2.46,2.75
2018Q3,2018,3,منطقة المدينة المنورة,Madinah,Commercial,50.0,96553822.0,1452.52535,,,Madinah,1477047,9723.0,2.46,2.75
2018Q3,2018,3,منطقة المدينة المنورة,Madinah,Residential,296.0,189070506.21,1246.9427672439024,,,Madinah,1477047,9723.0,2.46,2.75
2018Q3,2018,3,منطقة تبوك,Tabuk,Commercial,316.0,128804653.54,382.54331941296925,,,Tabuk,623665,11127.0,2.46,2.75
2018Q3,2018,3,منطقة تبوك,Tabuk,Residential,330.0,99851586.97,382.348425133574,,,Tabuk,623665,11127.0,2.46,2.75
2018Q3,2018,3,منطقة جازان,Jazan,Commercial,10.0,7007500.0,,,,Jazan,200911,10763.0,2.46,2.75
2018Q3,2018,3,منطقة جازان,Jazan,Residential,116.0,44145887.6,447.2929323428571,,,Jazan,200911,10763.0,2.46,2.75
2018Q3,2018,3,منطقة حائل,Hail,Residential,1.0,309988.0,,,,Hail,498575,9269.0,2.46,2.75
2018Q3,2018,3,منطقة مكة المكرمة,Jeddah,Commercial,266.0,924873424.37,1177.8812851987952,,,Makkah,3751722,10141.0,2.46,2.75
2018Q3,2018,3,منطقة مكة المكرمة,Jeddah,Residential,2944.0,2589178620.38,2107.3904635146305,,,Makkah,3751722,10141.0,2.46,2.75
2018Q3,2018,3,منطقة مكة المكرمة,Makkah,Commercial,6.0,38379829.0,,,,Makkah,2427924,10141.0,2.46,2.75
2018Q3,2018,3,منطقة مكة المكرمة,Makkah,Residential,162.0,523485983.96,19941.01795839091,,,Makkah,2427924,10141.0,2.46,2.75
2018Q4,2018,4,المنطقة الشرقية,Dammam,Commercial,149.0,621340231.83,1688.0692855714285,,,Eastern Province,1532326,11775.0,2.46,3.0
2018Q4,2018,4,المنطقة الشرقية,Dammam,Residential,1414.0,3495811192.17,2027.3379896739468,,,Eastern Province,1532326,11775.0,2.46,3.0
2018Q4,2018,4,المنطقة الشرقية,Khobar,Residential,18.0,9159125.0,2284.115525,,,Eastern Province,658550,11775.0,2.46,3.0
2018Q4,2018,4,منطقة الرياض,Riyadh,Commercial,894.0,6933692439.43,1459.4818520898282,,,Riyadh,7009120,14990.0,2.46,3.0
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,14501.0,10833859739.25,1456.5893472069404,,,Riyadh,7009120,14990.0,2.46,3.0
2018Q4,2018,4,منطقة القصيم,Buraidah,Residential,6.0,1095000.0,1132.502831,,,Al Qassim,677647,10081.0,2.46,3.0
2018Q4,2018,4,منطقة المدينة المنورة,Madinah,Commercial,67.0,114109179.93,700.7645832222222,,,Madinah,1477047,9723.0,2.46,3.0
2018Q4,2018,4,منطقة المدينة المنورة,Madinah,Residential,451.0,413499567.08,1157.6017413386244,,,Madinah,1477047,9723.0,2.46,3.0
2018Q4,2018,4,منطقة تبوك,Tabuk,Commercial,574.0,204763825.7,359.042874532967,,,Tabuk,623665,11127.0,2.46,3.0
2018Q4,2018,4,منطقة تبوك,Tabuk,Residential,635.0,167495516.16,360.7092857631579,,,Tabuk,623665,11127.0,2.46,3.0
2018Q4,2018,4,منطقة جازان,Jazan,Commercial,40.0,20525100.0,284.082169,,,Jazan,200911,10763.0,2.46,3.0
2018Q4,2018,4,منطقة جازان,Jazan,Residential,293.0,79997067.69,411.1360492740213,,,Jazan,200911,10763.0,2.46,3.0
2018Q4,2018,4,منطقة حائل,Hail,Residential,2.0,1274790.04,,,,Hail,498575,9269.0,2.46,3.0
2018Q4,2018,4,منطقة مكة المكرمة,Jeddah,Commercial,575.0,1156461856.67,1192.5217847934064,,,Makkah,3751722,10141.0,2.46,3.0
2018Q4,2018,4,منطقة مكة المكرمة,Jeddah,Residential,5033.0,4179532915.97,1906.235512154196,,,Makkah,3751722,10141.0,2.46,3.0
2018Q4,2018,4,منطقة مكة المكرمة,Makkah,Commercial,17.0,179142069.0,,,,Makkah,2427924,10141.0,2.46,3.0
2018Q4,2018,4,منطقة مكة المكرمة,Makkah,Residential,211.0,281000745.99,5926.635823449437,,,Makkah,2427924,10141.0,2.46,3.0
2019Q1,2019,1,منطقة الباحة,Al Bahah,Residential,,,,176.0,16597.582909079545,Al Bahah,90515,11348.0,-2.09,3.0
2019Q1,2019,1,منطقة الجوف,Sakaka,Commercial,,,,6.0,214.444445,Al Jouf,236669,10686.0,-2.09,3.0
2019Q1,2019,1,منطقة الجوف,Sakaka,Residential,,,,280.0,12178.463066942855,Al Jouf,236669,10686.0,-2.09,3.0
2019Q1,2019,1,منطقة الحدود الشماليه,Arar,Commercial,,,,2.0,1084.615385,Northern Borders,202719,,-2.09,3.0
2019Q1,2019,1,منطقة الحدود الشماليه,Arar,Residential,,,,191.0,15277.325703633507,Northern Borders,202719,,-2.09,3.0
2019Q1,2019,1,منطقة الرياض,Riyadh,Commercial,,,,326.0,497.9820805245398,Riyadh,7009120,14990.0,-2.09,3.0
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,,,,26437.0,22376.259223539964,Riyadh,7009120,14990.0,-2.09,3.0
2019Q1,2019,1,منطقة القصيم,Buraidah,Commercial,,,,4.0,397.5481845000001,Al Qassim,677647,10081.0,-2.09,3.0
2019Q1,2019,1,منطقة القصيم,Buraidah,Residential,,,,963.0,12759.71982936241,Al Qassim,677647,10081.0,-2.09,3.0
2019Q1,2019,1,منطقة المدينة المنورة,Madinah,Commercial,,,,24.0,416.32389595833337,Madinah,1477047,9723.0,-2.09,3.0
2019Q1,2019,1,منطقة المدينة المنورة,Madinah,Residential,,,,2804.0,17422.717248281024,Madinah,1477047,9723.0,-2.09,3.0
2019Q1,2019,1,المنطقة الشرقية,Dammam,Commercial,135.0,3314390913.18,16438.05207608955,73.0,387.22111506849313,Eastern Province,1532326,11775.0,-2.09,3.0
2019Q1,2019,1,المنطقة الشرقية,Dammam,Residential,1776.0,1532523623.54,2286.461841106357,6838.0,18648.919765467683,Eastern Province,1532326,11775.0,-2.09,3.0
2019Q1,2019,1,المنطقة الشرقية,Khobar,Commercial,,,,30.0,484.813137,Eastern Province,658550,11775.0,-2.09,3.0
2019Q1,2019,1,المنطقة الشرقية,Khobar,Residential,23.0,16357140.0,2907.521522,3749.0,20317.651616080824,Eastern Province,658550,11775.0,-2.09,3.0
2019Q1,2019,1,منطقة تبوك,Tabuk,Commercial,,,,24.0,591.4736220000001,Tabuk,623665,11127.0,-2.09,3.0
2019Q1,2019,1,منطقة تبوك,Tabuk,Residential,,,,1204.0,16485.561280537375,Tabuk,623665,11127.0,-2.09,3.0
2019Q1,2019,1,منطقة جازان,Jazan,Commercial,,,,8.0,327.294372,Jazan,200911,10763.0,-2.09,3.0
2019Q1,2019,1,منطقة جازان,Jazan,Residential,,,,766.0,19453.497793203656,Jazan,200911,10763.0,-2.09,3.0
2019Q1,2019,1,منطقة حائل,Hail,Commercial,,,,8.0,332.68233,Hail,498575,9269.0,-2.09,3.0
2019Q1,2019,1,منطقة حائل,Hail,Residential,,,,631.0,14703.623821889065,Hail,498575,9269.0,-2.09,3.0
2019Q1,2019,1,منطقة عسير,Abha,Commercial,,,,10.0,479.1603463,Aseer,422243,11264.0,-2.09,3.0
2019Q1,2019,1,منطقة عسير,Abha,Residential,,,,501.0,18998.0096191976,Aseer,422243,11264.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Jeddah,Commercial,,,,237.0,682.6974172278482,Makkah,3751722,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Jeddah,Residential,,,,18152.0,21916.17529606875,Makkah,3751722,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Makkah,Commercial,,,,61.0,494.7483577540984,Makkah,2427924,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Makkah,Residential,,,,3689.0,18411.59227057739,Makkah,2427924,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة الرياض,Riyadh,Commercial,1080.0,5779997380.82,1773.1839922786178,,,Riyadh,7009120,14990.0,-2.09,3.0
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,18291.0,14982932254.36,1395.9921305016112,,,Riyadh,7009120,14990.0,-2.09,3.0
2019Q1,2019,1,منطقة القصيم,Buraidah,Residential,3.0,880000.0,,,,Al Qassim,677647,10081.0,-2.09,3.0
2019Q1,2019,1,منطقة المدينة المنورة,Madinah,Commercial,71.0,86484082.35,925.9504642142856,,,Madinah,1477047,9723.0,-2.09,3.0
2019Q1,2019,1,منطقة المدينة المنورة,Madinah,Residential,505.0,306190642.71,1101.3750691224488,,,Madinah,1477047,9723.0,-2.09,3.0
2019Q1,2019,1,منطقة تبوك,Tabuk,Commercial,797.0,446081081.58,426.2552449284802,,,Tabuk,623665,11127.0,-2.09,3.0
2019Q1,2019,1,منطقة تبوك,Tabuk,Residential,826.0,226368675.08,427.78128308661417,,,Tabuk,623665,11127.0,-2.09,3.0
2019Q1,2019,1,منطقة جازان,Jazan,Commercial,25.0,16072750.0,715.9170803000001,,,Jazan,200911,10763.0,-2.09,3.0
2019Q1,2019,1,منطقة جازان,Jazan,Residential,237.0,84784289.14,642.5960644170403,,,Jazan,200911,10763.0,-2.09,3.0
2019Q1,2019,1,منطقة حائل,Hail,Residential,3.0,817156.0,,,,Hail,498575,9269.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Jeddah,Commercial,566.0,1806494556.73,1246.5042736689038,,,Makkah,3751722,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Jeddah,Residential,5745.0,4569037657.17,1981.1818648144945,,,Makkah,3751722,10141.0,-2.09,3.0
2019Q1,2019,1,منطقة مكة المكرمة,Makkah,Commercial,20.0,94879611.8,3829.921259,,,Makkah,2427924,10141.0,-2.09,3.0
