city,year,property_type,sales_transactions,market_value,avg_transaction_value,avg_price_m2,rental_contracts,avg_rent,population,sales_quarters_available,rental_quarters_available,price_quarters_available
Abha,2019,Commercial,,,,,133.0,696.5966323909773,422243,0,4,0
Abha,2019,Residential,3.0,1500000.0,500000.0,,2509.0,19274.662636622557,422243,1,4,0
Abha,2020,Commercial,,,,,1067.0,594.6390627441424,422243,0,4,0
Abha,2020,Residential,23.0,12385294.0,538491.0434782609,2013.463378,6360.0,17501.913349560222,422243,4,4,1
Abha,2021,Commercial,,,,,2043.0,734.8420771600588,422243,0,4,0
Abha,2021,Residential,18.0,11035466.0,613081.4444444445,,7162.0,18254.85548928679,422243,4,4,0
Abha,2022,Commercial,216.0,299298012.37,1385638.9461574075,878.68679825,4592.0,702.7692967449913,422243,3,4,3
Abha,2022,Residential,3171.0,2747386140.61,866410.0096531063,1539.5211895688567,19199.0,16432.909758591333,422243,4,4,3
Abha,2023,Commercial,326.0,305158163.31,936067.985613497,1057.785112493865,5396.0,724.4153408428466,422243,3,4,3
Abha,2023,Residential,2916.0,2149752437.85,737226.4876028806,1313.5891844499313,33460.0,15449.611062911386,422243,3,4,3
Abha,2024,Commercial,,,,,6424.0,746.9543016075654,422243,0,4,0
Abha,2024,Residential,,,,,34931.0,17370.949011722107,422243,0,4,0
Al Bahah,2019,Commercial,,,,,50.0,489.4552416,90515,0,2,0
Al Bahah,2019,Residential,,,,,883.0,15897.42220039864,90515,0,4,0
Al Bahah,2020,Commercial,,,,,258.0,559.7196433953488,90515,0,4,0
Al Bahah,2020,Residential,10.0,5164898.0,516489.8,,1465.0,15087.199295283273,90515,3,4,0
Al Bahah,2021,Commercial,,,,,533.0,552.6214466454035,90515,0,4,0
Al Bahah,2021,Residential,21.0,9586802.0,456514.38095238095,2283.109762230769,1863.0,15540.0685158964,90515,4,4,2
Al Bahah,2022,Commercial,19.0,7549585.6,397346.61052631575,105.42213499999998,1433.0,594.8398669567341,90515,3,4,1
Al Bahah,2022,Residential,245.0,122358612.32,499422.9074285714,312.24754987295086,4385.0,14222.7545560561,90515,4,4,3
Al Bahah,2023,Commercial,39.0,65308939.5,1674588.1923076923,664.2957634615385,1462.0,580.6778411792066,90515,3,4,3
Al Bahah,2023,Residential,164.0,59439465.95,362435.7679878049,372.66618505487804,7386.0,13476.052442607232,90515,3,4,3
Al Bahah,2024,Commercial,,,,,1469.0,533.1069816814158,90515,0,4,0
Al Bahah,2024,Residential,,,,,7592.0,15583.077612637513,90515,0,4,0
Arar,2019,Commercial,,,,,58.0,475.39902900000004,202719,0,4,0
Arar,2019,Residential,,,,,1069.0,16065.732202421892,202719,0,4,0
Arar,2020,Commercial,,,,,562.0,414.99026992170815,202719,0,4,0
Arar,2020,Residential,,,,,3205.0,13886.367886901093,202719,0,4,0
Arar,2021,Commercial,,,,,876.0,436.62985481164384,202719,0,4,0
Arar,2021,Residential,,,,,2590.0,14845.106597839382,202719,0,4,0
Arar,2022,Commercial,287.0,87608999.07,305257.8364808362,129.28310054006968,1740.0,477.10888378275865,202719,3,4,3
Arar,2022,Residential,1975.0,342412657.93,173373.49768607595,64.16469307359431,7449.0,13232.952495475363,202719,3,4,3
Arar,2023,Commercial,219.0,48506121.07,221489.13730593608,157.15053724200914,2866.0,453.2412573070481,202719,3,4,3
Arar,2023,Residential,1353.0,220873090.03000003,163246.92537324465,131.1522541073859,14288.0,12834.853341601414,202719,3,4,3
Arar,2024,Commercial,,,,,3353.0,457.2783146611989,202719,0,4,0
Arar,2024,Residential,,,,,15664.0,14723.182955055543,202719,0,4,0
Buraidah,2018,Residential,26.0,5392000.0,207384.61538461538,1086.4222154210527,,,677647,4,0,2
Buraidah,2019,Commercial,,,,,211.0,329.17126678672986,677647,0,4,0
Buraidah,2019,Residential,23.0,6866000.0,298521.73913043475,1756.1931134000001,4873.0,12373.174894861482,677647,3,4,1
Buraidah,2020,Commercial,,,,,1686.0,347.77663862099644,677647,0,4,0
Buraidah,2020,Residential,90.0,41724139.0,463601.5444444445,1974.7358519185186,10105.0,11790.58513383652,677647,4,4,4
Buraidah,2021,Commercial,,,,,3960.0,388.7206881510101,677647,0,4,0
Buraidah,2021,Residential,123.0,72677656.0,590875.2520325204,2223.0895430357064,13398.0,11946.56528225474,677647,4,4,4
Buraidah,2022,Commercial,1561.0,1458001343.51,934017.5166623959,159.3523481669878,9402.0,428.65564986045524,677647,4,4,3
Buraidah,2022,Residential,8538.0,3227438054.9999995,378008.67357695004,485.960000754878,30614.0,11416.058905004083,677647,4,4,3
Buraidah,2023,Commercial,1016.0,902719190.26,888503.140019685,97.17138619586615,11286.0,422.05323864141417,677647,3,4,3
Buraidah,2023,Residential,5929.0,2058995731.8799999,347275.38065103727,493.67368792566884,46299.0,11528.746339637099,677647,3,4,3
Buraidah,2024,Commercial,,,,,12446.0,428.8047868961915,677647,0,4,0
Buraidah,2024,Residential,,,,,52041.0,13367.289153580925,677647,0,4,0
