quarter_key,year,quarter,region_ar,city,property_type,rental_contracts,avg_rent,property_category_ar
2019Q1,2019,1,الرياض,Riyadh,Residential,704,14429.129629,استديو - سكني
2019Q1,2019,1,الرياض,Riyadh,Residential,429,45455.117359,دوبلاكس - سكني
2019Q1,2019,1,الرياض,Riyadh,Residential,3067,30732.398589,دور - سكني
2019Q1,2019,1,الرياض,Riyadh,Residential,21534,19646.128524,شقة - سكني
2019Q1,2019,1,الرياض,Riyadh,Residential,703,63423.63354,فيلا - سكني
2019Q1,2019,1,الرياض,Riyadh,Commercial,247,524.008703,محل - تجاري
2019Q1,2019,1,الرياض,Riyadh,Commercial,8,942.233927,معرض تجاري - تجاري
2019Q1,2019,1,الرياض,Riyadh,Commercial,71,357.382214,مكتب - تجاري
2019Q2,2019,2,الرياض,Riyadh,Residential,746,13897.170491,استديو - سكني
2019Q2,2019,2,الرياض,Riyadh,Residential,451,43037.969767,دوبلاكس - سكني
2019Q2,2019,2,الرياض,Riyadh,Residential,3522,29797.069889,دور - سكني
2019Q2,2019,2,الرياض,Riyadh,Residential,23691,19706.849797,شقة - سكني
2019Q2,2019,2,الرياض,Riyadh,Residential,724,60800.072837,فيلا - سكني
2019Q2,2019,2,الرياض,Riyadh,Commercial,692,531.245374,محل - تجاري
2019Q2,2019,2,الرياض,Riyadh,Commercial,21,883.470587,معرض تجاري - تجاري
2019Q2,2019,2,الرياض,Riyadh,Commercial,208,406.756628,مكتب - تجاري
2019Q3,2019,3,الرياض,Riyadh,Residential,1072,14166.073459,استديو - سكني
2019Q3,2019,3,الرياض,Riyadh,Residential,591,42374.864436,دوبلاكس - سكني
2019Q3,2019,3,الرياض,Riyadh,Residential,4720,29778.790904,دور - سكني
2019Q3,2019,3,الرياض,Riyadh,Residential,31246,19700.201402,شقة - سكني
2019Q3,2019,3,الرياض,Riyadh,Residential,1048,62112.069444,فيلا - سكني
2019Q3,2019,3,الرياض,Riyadh,Commercial,1764,471.277201,محل - تجاري
2019Q3,2019,3,الرياض,Riyadh,Commercial,146,743.734949,معرض تجاري - تجاري
2019Q3,2019,3,الرياض,Riyadh,Commercial,407,363.206413,مكتب - تجاري
2019Q4,2019,4,الرياض,Riyadh,Residential,1438,13962.99282,استديو - سكني
2019Q4,2019,4,الرياض,Riyadh,Residential,606,42746.66129,دوبلاكس - سكني
2019Q4,2019,4,الرياض,Riyadh,Residential,4840,29006.066878,دور - سكني
2019Q4,2019,4,الرياض,Riyadh,Residential,34097,19115.468849,شقة - سكني
2019Q4,2019,4,الرياض,Riyadh,Residential,1183,61584.134099,فيلا - سكني
2019Q4,2019,4,الرياض,Riyadh,Commercial,3004,493.825936,محل - تجاري
2019Q4,2019,4,الرياض,Riyadh,Commercial,189,633.242519,معرض تجاري - تجاري
2019Q4,2019,4,الرياض,Riyadh,Commercial,773,363.067402,مكتب - تجاري
2020Q1,2020,1,الرياض,Riyadh,Residential,1465,14269.219154,استديو - سكني
2020Q1,2020,1,الرياض,Riyadh,Residential,671,47047.569823,دوبلاكس - سكني
2020Q1,2020,1,الرياض,Riyadh,Residential,4827,29621.94483,دور - سكني
2020Q1,2020,1,الرياض,Riyadh,Residential,33662,19319.512526,شقة - سكني
2020Q1,2020,1,الرياض,Riyadh,Residential,884,62487.795396,فيلا - سكني
2020Q1,2020,1,الرياض,Riyadh,Commercial,2937,498.284168,محل - تجاري
2020Q1,2020,1,الرياض,Riyadh,Commercial,118,750.966932,معرض تجاري - تجاري
2020Q1,2020,1,الرياض,Riyadh,Commercial,914,373.018521,مكتب - تجاري
2020Q2,2020,2,الرياض,Riyadh,Residential,1576,13689.964189,استديو - سكني
2020Q2,2020,2,الرياض,Riyadh,Residential,534,45905.216326,دوبلاكس - سكني
2020Q2,2020,2,الرياض,Riyadh,Residential,4053,29953.278092,دور - سكني
2020Q2,2020,2,الرياض,Riyadh,Residential,31211,19262.014046,شقة - سكني
2020Q2,2020,2,الرياض,Riyadh,Residential,906,60683.485185,فيلا - سكني
2020Q2,2020,2,الرياض,Riyadh,Commercial,2324,522.72163,محل - تجاري
2020Q2,2020,2,الرياض,Riyadh,Commercial,122,671.746647,معرض تجاري - تجاري
2020Q2,2020,2,الرياض,Riyadh,Commercial,820,398.405344,مكتب - تجاري
2020Q3,2020,3,الرياض,Riyadh,Residential,2729,13658.734594,استديو - سكني
2020Q3,2020,3,الرياض,Riyadh,Residential,1005,48823.317837,دوبلاكس - سكني
2020Q3,2020,3,الرياض,Riyadh,Residential,7835,28970.164481,دور - سكني
2020Q3,2020,3,الرياض,Riyadh,Residential,56311,18782.035966,شقة - سكني
2020Q3,2020,3,الرياض,Riyadh,Residential,1640,61191.693649,فيلا - سكني
2020Q3,2020,3,الرياض,Riyadh,Commercial,8277,530.080155,محل - تجاري
2020Q3,2020,3,الرياض,Riyadh,Commercial,554,755.285434,معرض تجاري - تجاري
2020Q3,2020,3,الرياض,Riyadh,Commercial,2391,411.733152,مكتب - تجاري
2020Q4,2020,4,الرياض,Riyadh,Residential,3169,13554.74074,استديو - سكني
2020Q4,2020,4,الرياض,Riyadh,Residential,1145,54684.23996,دوبلاكس - سكني
2020Q4,2020,4,الرياض,Riyadh,Residential,7863,29147.830563,دور - سكني
2020Q4,2020,4,الرياض,Riyadh,Residential,66007,18689.84336,شقة - سكني
2020Q4,2020,4,الرياض,Riyadh,Residential,1794,64453.898493,فيلا - سكني
2020Q4,2020,4,الرياض,Riyadh,Commercial,11773,565.167069,محل - تجاري
