quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,property_category_ar
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,30,42375314.0,11283.13372,شقة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,41,39400526.0,5350.3982,شقة
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,26,29923700.47,12604.208126,شقة
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,15,20264789.76,9414.120273,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,35,55458560.0,8813.737898,شقة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,4,2475000.0,,شقة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,27,14041793.25,4780.114373,شقة
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,1,340000.0,,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,2,1708050.0,,شقة
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,3,1135000.0,,شقة
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,4,1910000.0,,شقة
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,2,797000.0,,شقة
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,5,2541328.0,,شقة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,2,958488.0,,شقة
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,6,2851483.0,3832.177761,شقة
2023Q2,2023,2,منطقة المدينة المنورة,Madinah,Residential,5,8563030.4,,شقة
2022Q3,2022,3,منطقة المدينة المنورة,Madinah,Residential,4,3422000.0,,شقة
2023Q3,2023,3,منطقة المدينة المنورة,Madinah,Residential,2,850000.0,,شقة
2022Q4,2022,4,منطقة المدينة المنورة,Madinah,Residential,4,2726000.0,,شقة
2022Q2,2022,2,منطقة المدينة المنورة,Madinah,Residential,17,11395093.0,3317.339405,شقة
2021Q4,2021,4,منطقة المدينة المنورة,Madinah,Residential,35,18838969.4,2756.391784,شقة
2021Q1,2021,1,منطقة المدينة المنورة,Madinah,Residential,41,22998282.0,2921.403625,شقة
2022Q2,2022,2,منطقة المدينة المنورة,Madinah,Residential,9,7190000.0,3634.590257,شقة
2023Q1,2023,1,منطقة المدينة المنورة,Madinah,Residential,8,3740000.0,2049.701733,شقة
2019Q2,2019,2,منطقة المدينة المنورة,Madinah,Residential,18,13378420.26,2920.044894,شقة
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,2,1404275.0,,شقة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,3,1457194.0,,شقة
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,6,3126000.0,3068.730538,شقة
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,6,3052296.0,3428.981973,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,27,21343418.69,5219.7905,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,84,66559902.04,5347.29584,شقة
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,194,490676767.47,8709.668172,شقة
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,33,53591977.19,10000.459107,شقة
2023Q3,2023,3,منطقة مكة المكرمة,Jeddah,Residential,10,6729147.0,4146.117742,شقة
2022Q4,2022,4,منطقة مكة المكرمة,Jeddah,Residential,3,2010000.0,,شقة
2022Q1,2022,1,منطقة مكة المكرمة,Jeddah,Residential,16,9805556.52,4015.05857,شقة
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,18,22028740.54,13125.399706,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,5,1899046.68,,شقة
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,2,505540.0,,شقة
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,9,2752926.0,2170.579526,شقة
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,2,435000.0,,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,10,5030049.0,3697.999446,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,3,1302384.0,,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,27,9481608.01,2356.912404,شقة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,231,261450427.0,8554.253649,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,13,11934267.21,6921.290086,شقة
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,135,110090694.34,5543.133731,شقة
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,1,497999.56,,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,7,3726276.0,3826.939615,شقة
