quarter_key,year,quarter,quarter_label,year_quarter_sort
2018Q1,2018,1,2018 Q1,20181
2018Q2,2018,2,2018 Q2,20182
2018Q3,2018,3,2018 Q3,20183
2018Q4,2018,4,2018 Q4,20184
2019Q1,2019,1,2019 Q1,20191
2019Q2,2019,2,2019 Q2,20192
2019Q3,2019,3,2019 Q3,20193
2019Q4,2019,4,2019 Q4,20194
2020Q1,2020,1,2020 Q1,20201
2020Q2,2020,2,2020 Q2,20202
2020Q3,2020,3,2020 Q3,20203
2020Q4,2020,4,2020 Q4,20204
2021Q1,2021,1,2021 Q1,20211
2021Q2,2021,2,2021 Q2,20212
2021Q3,2021,3,2021 Q3,20213
2021Q4,2021,4,2021 Q4,20214
2022Q1,2022,1,2022 Q1,20221
2022Q2,2022,2,2022 Q2,20222
2022Q3,2022,3,2022 Q3,20223
2022Q4,2022,4,2022 Q4,20224
2023Q1,2023,1,2023 Q1,20231
2023Q2,2023,2,2023 Q2,20232
2023Q3,2023,3,2023 Q3,20233
2023Q4,2023,4,2023 Q4,20234
2024Q1,2024,1,2024 Q1,20241
2024Q2,2024,2,2024 Q2,20242
2024Q3,2024,3,2024 Q3,20243
2024Q4,2024,4,2024 Q4,20244
